,neighbourhood,dist
779,central,0.012209371774168924
2403,south,0.07259697596401907
4172,west,0.0550463519510531
931,central,0.013085223999613142
4274,central,0.015620624799289185
1776,south,0.031900370642359045
1238,west,0.027319011386200014
4248,central,0.01436023868603733
1011,west,0.05112343665208428
1347,central,0.035744839167626836
3563,southwest,0.14072621242369251
2397,central,0.02930486975094211
3620,north,0.058748643278966964
2389,west,0.06530321314543656
3611,south,0.052231239456091
5880,west,0.013832056937417733
3804,north,0.09447231200261612
4739,central,0.0075574074337632765
3178,central,0.015131447489255812
4784,north,0.06947602331105973
4008,west,0.057330713227017056
4893,farnorth,0.12170356612325942
3798,west,0.06841017204421064
2967,west,0.055469175432118434
3803,central,0.014465430485116667
2538,farnorth,0.13805088021131778
5129,farnorth,0.07830329714079216
4607,north,0.07304672055006475
2313,farnorth,0.11525002833456628
3583,central,0.019739056084832646
2347,north,0.09288278552626135
2506,west,0.05036411253183467
5844,farnorth,0.09469793838895918
4622,central,0.010568129783460972
3060,south,0.08500068761557751
3343,central,0.008893164516636977
367,north,0.0855915705143863
804,central,0.015544353801937664
4156,north,0.06747461821396052
2801,farnorth,0.21546258501910542
3869,central,0.0066601969280107535
566,northwest,0.13953460662902512
2578,central,0.013757761704577246
1773,west,0.04780759838267693
1933,farnorth,0.10634441348335684
3672,north,0.05907783786767673
1921,west,0.051268962844192995
507,farsouthwest,0.15268929360999464
3791,north,0.058963612907616966
2090,north,0.060389137492759024
98,north,0.03142222702355154
3059,west,0.04451569582877037
4068,south,0.08680677088292717
1198,north,0.06947255509278152
667,west,0.04999295373469281
858,farnorth,0.09193924841501906
246,central,0.018065680588342476
6512,northwest,0.11624122728950452
6119,south,0.03930401759515451
1676,north,0.06400180140526864
4168,west,0.0544313838067686
1669,north,0.06888896607672043
1791,central,0.023306057734411585
4736,south,0.08887552544498176
6416,west,0.04160405068607832
2560,farnorth,0.09715562529837964
1381,north,0.08402559223902699
1546,north,0.043790222277580185
6305,west,0.09487471839809586
5954,south,0.0896490649093457
2274,farnorth,0.09147296548772904
6072,farnorth,0.10704135435951831
6210,central,0.021145379616360125
556,farsouth,0.15590608672891032
993,farnorth,0.13153812149760738
2010,west,0.03415579457602992
5014,west,0.09817369199087485
1410,north,0.08745097437489224
5308,west,0.06558496821008905
3019,north,0.08984495177314972
3625,north,0.06944979158442321
1657,farnorth,0.14698671360065127
5335,southwest,0.060655198615777686
2999,central,0.029922542925360156
2860,farsouth,0.19496094699995745
3113,west,0.022270894708563065
934,north,0.07643650828706924
3273,northwest,0.13876221217289836
700,north,0.09103894585899742
2247,central,0.0049832639023064985
1540,farnorth,0.11214270369096632
2304,north,0.0494311701572959
5362,central,0.006483827813878417
3353,central,0.01911329482638188
1081,farnorth,0.09836967914514869
6283,west,0.03513097754289912
4788,north,0.09680800590404852
850,north,0.08256875708837239
5306,west,0.02648129587312249
524,north,0.08170971241608709
2284,west,0.0653682814759435
5484,south,0.10849280536109884
5242,farnorth,0.13644853112847363
3464,south,0.08724267056389627
4096,west,0.07495201525722175
4771,central,0.031942117261068693
3015,farnorth,0.12493322263961058
5,north,0.051875134179289926
1297,north,0.08537683099716688
3732,south,0.134334131474921
3544,central,0.005016830784475667
5073,central,0.010518481217349888
5676,south,0.08685710402218887
616,south,0.08127802250990203
575,farnorth,0.19524002243166538
976,north,0.07308519553999664
639,west,0.05623676931615841
5778,north,0.07573739656945487
4806,west,0.04842271416514837
3067,farnorth,0.11137634459398756
2198,west,0.028990713118503927
5758,central,0.018181718706443344
1179,farnorth,0.14702642107839076
288,north,0.037787162782079914
513,west,0.06998756494634005
5219,north,0.054780958800662284
1385,north,0.07492289972444323
987,south,0.03178812305122869
432,west,0.04745580486219637
5797,central,0.015200756004880689
588,west,0.07436855904963881
2897,central,0.010538207395951819
2575,west,0.02360630608798996
1833,farnorth,0.1424245192062066
847,north,0.06350171266288016
2358,north,0.08754344740252781
4805,south,0.051979657551011194
62,north,0.09434342003085411
1600,north,0.07651860484299806
1225,west,0.10555587509522826
1937,farnorth,0.10000694299457148
2779,west,0.09089491166791466
6300,central,0.02842724818057075
108,farnorth,0.09876890959769676
517,south,0.06622687912865084
6448,north,0.06013774046071198
6441,central,0.025940621316396635
3560,south,0.13011000932719252
913,south,0.0860859549933745
1847,west,0.14111836183543605
4695,west,0.06564528795822455
2689,west,0.022239752676675318
5237,central,0.01565603114202295
4608,north,0.06976375143954963
757,farnorth,0.11219015303990947
321,farnorth,0.09259089738802116
323,north,0.07203274043877131
3191,central,0.009749972262525592
6159,central,0.027088945625847117
1039,north,0.08338270990509875
2563,west,0.04239101375431946
6151,central,0.002589271542343529
5753,south,0.09534550090654959
1579,farnorth,0.12224374077685415
6250,farsouthwest,0.1759802025203971
5964,farnorth,0.09804829107699796
1437,west,0.06118278835685189
2772,central,0.015069676543312248
4179,north,0.1063234798862396
348,farnorth,0.09731014931197919
5025,west,0.04643725761841575
3194,farnorth,0.13199603233097382
6039,south,0.08693017436495228
3426,farnorth,0.11213027077074009
1413,west,0.031343328590301096
3228,central,0.02601263783470992
1950,farsouth,0.14664636073943535
1735,central,0.0063975288291657365
5112,west,0.06744390225305325
3492,west,0.07831970127061189
701,west,0.013390776195571682
2351,farsouth,0.16031761277888595
5369,west,0.07056923272303958
3477,south,0.05387860754622503
686,south,0.07358875201496987
4023,central,0.006796170621744532
4040,central,0.006922419744567854
995,farnorth,0.15662457117297243
5824,west,0.049028076355480156
2603,north,0.09157135765685656
5477,north,0.04432915536212324
4492,west,0.02886266735975808
2442,north,0.056803058994381865
4694,west,0.0650321609599431
4879,north,0.06718401583054805
3903,central,0.016390625830640864
643,farnorth,0.131018344452666
3296,farnorth,0.11326537143857543
4520,north,0.07692302541579475
5820,west,0.1479051467634506
3834,north,0.05220571577058978
3244,south,0.04175857419884025
5266,central,0.01874460922825389
5609,west,0.025501769960528022
1019,central,0.014456156028485132
6509,central,0.018590951754007448
1946,west,0.03687670591470776
2695,south,0.052072801875067645
960,central,0.017569186637972134
1042,farnorth,0.12965628592212022
4518,farnorth,0.07729903926388454
4563,farnorth,0.07826741134801372
4459,farnorth,0.13385490373953013
1814,north,0.09630330656378644
4278,north,0.05318354203246445
1342,north,0.04339211060917994
4315,central,0.017935037193155985
54,north,0.10177398162162835
1825,northwest,0.11409311459995905
94,farnorth,0.14702642107839076
3406,south,0.13850248892753309
3331,north,0.10048490493163532
1351,north,0.06395078982404574
4009,west,0.05615822987879571
3571,southwest,0.07143802154005809
4421,central,0.018150382671448875
2040,northwest,0.09977138062149077
3579,north,0.08248918755278968
1074,west,0.060775483141806905
2093,north,0.0738509493447443
2271,central,0.00521973170957408
4385,northwest,0.16771215922263716
4252,west,0.03386340808482731
6424,southwest,0.06749989000820078
3832,farsouthwest,0.157134651172553
3397,central,0.007875016134590535
3137,northwest,0.11381053181107079
4820,west,0.0865876697868656
3465,farnorth,0.20995238993428555
4579,north,0.10674629986617401
6122,west,0.08466255559053067
3283,farnorth,0.08892567619714734
6037,north,0.07126064905064684
1456,west,0.03474859005945216
4224,farnorth,0.1327661289904821
5162,west,0.06203742082903783
5882,farsouth,0.16110788769989515
349,north,0.062254002659419744
1577,north,0.05511348879466691
6388,west,0.017992859892742442
4522,farsouth,0.19216956616259698
2667,central,0.023230211344709394
4887,central,0.009625444151831466
244,north,0.07026249781440211
959,west,0.01428268375061123
4414,central,0.012631813453335078
5392,central,0.005443665595909221
434,north,0.03362324063976948
4244,central,0.017666044920121655
4599,west,0.04258873155095184
