,review1,review2,review3,id,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,number_of_reviews_ltm,instant_bookable,host_days,response_score,neighbourhood_farnorth,neighbourhood_farsouth,neighbourhood_farsouthwest,neighbourhood_north,neighbourhood_northwest,neighbourhood_south,neighbourhood_southwest,neighbourhood_west,dist,property_group_0,property_group_1,property_group_2,property_group_3,property_group_4,room_type_entire_home/apt,room_type_hotel_room,room_type_private_room,room_type_shared_room,crowdedness,crowdedness_diff,crowdedness_ratio,crowdedness_adj_ratio,long_term_stays_allowed,gym,patio_or_balcony,paid_parking_off_premises,coffee_maker,first_aid_kit,fire_extinguisher,private_entrance,bbq_grill,lockbox,indoor_fireplace,hangers,elevator,dishwasher,laundromat_nearby,heating,bathtub,air_conditioning,hot_water,hair_dryer,free_street_parking,oven,shower_gel,free_parking_on_premises,lock_on_bedroom_door,dryer,keypad,washer,outdoor_furniture,room-darkening_shades,baking_sheet,wine_glasses,tv,bathrooms_privacy,bathrooms
196,-1.2914739835578226,-0.05302964158966143,0.16749211634657016,3303813,0.83,1,1,2,1.0,89.0,2,1125,1,78,96,16,0,3168,1,0,0,0,1,0,0,0,0,0.06667929339097237,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1.0
4200,-1.387002636596697,-0.1754087768769296,0.25737071536466477,43848129,1.0,1,1,4,1.0,112.0,2,1125,1,64,33,28,1,927,0,1,0,0,0,0,0,0,0,0.12530230050210048,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1.0
1544,0.9116149908830008,-0.3534437380659972,-0.77358318645578,21661168,0.99,0,1,4,1.0,42.0,1,15,1,14,252,53,1,1479,1,0,0,0,0,1,0,0,0,0.16392339764389227,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1.0
3186,-0.30649352639059135,-0.031682435166842916,-0.4307698716592988,37432443,1.0,1,0,2,1.0,65.0,1,1125,1,60,16,16,1,904,1,0,0,0,0,0,1,0,0,0.051321060697538404,0,0,1,0,0,1,0,0,0,1,1.0,2.0,1.0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2.0
6387,1.2288545662735566,1.5991305310373676,-0.38142003306059646,53411145,0.0,0,1,4,1.0,87.0,2,33,1,67,0,0,0,2120,1,0,0,0,0,0,0,0,1,0.06467756064787086,0,1,0,0,0,0,0,1,0,1,3.0,4.0,3.0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,2.0
3162,-1.3634061680104304,0.05192735002268661,0.2556967611653302,37202831,1.0,0,1,2,1.0,47.0,2,7,1,0,13,0,0,3223,0,1,0,0,0,0,0,0,0,0.1353852881782912,0,0,1,0,0,0,0,1,0,1,1.0,2.0,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0
2745,-0.8678510849470542,0.20193447109079904,-0.13927153627554406,33913186,0.99,1,1,4,2.0,190.0,1,1125,1,63,108,49,0,978,1,0,0,0,0,0,0,0,1,0.05003160720104216,0,0,1,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1.0
2970,-0.5612007345985939,-0.35036806183909563,-0.07532691710209477,35681792,1.0,1,0,3,1.0,102.0,1,1125,1,60,167,63,1,2192,1,0,0,0,0,0,0,0,0,0.008666738666879087,0,0,1,0,0,0,0,1,0,1,2.0,3.0,2.0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0
1854,-0.924795758726141,-0.12012957370949603,0.32485398412456934,24792759,0.9,1,1,14,3.0,839.0,2,1124,1,83,19,5,0,2322,1,0,0,0,0,0,0,0,1,0.06654774009024575,0,1,0,0,0,1,0,0,0,1,11.0,4.666666666666667,3.6666666666666665,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,2.5
4290,-0.6585160486426522,-0.44545198215732884,-0.6225244743140411,44432427,0.76,0,1,2,1.0,85.0,2,3,1,56,11,9,0,2166,1,1,0,0,0,0,0,0,0,0.1110424232404844,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0
5207,-0.7481600662344592,0.6786674802405354,0.08569470253172658,49213532,0.99,0,1,3,1.1680440771349863,83.0,2,1125,1,83,35,35,0,1113,1,1,0,0,0,0,0,0,0,0.1306015684711299,0,1,0,0,0,1,0,0,0,1,1.8319559228650137,2.568396226415094,1.5683962264150944,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1.0
4203,-1.2874535838415104,-0.3957362978786564,-0.14718959617713115,43872717,1.0,1,1,2,1.0,90.0,32,1125,1,13,10,6,0,2463,1,1,0,0,0,0,0,0,0,0.08296830145977031,0,0,1,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0
6527,-1.465930639705447,-0.25164457779760435,0.03467820099149226,53816167,1.0,1,1,6,3.0,105.0,2,365,1,87,0,0,1,226,1,0,0,0,0,0,0,0,1,0.06483564191954658,0,0,1,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
428,0.7294012750152932,-0.2512061400703077,0.5308974865814869,6853914,0.96,0,1,10,4.0,218.0,2,1125,1,80,35,14,1,3845,1,0,0,0,1,0,0,0,0,0.07706545347377787,0,1,0,0,0,1,0,0,0,1,6.0,2.5,1.5,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,2.0
239,-0.9758717685840334,0.15741138276406397,0.05695469083503018,4075630,0.81,0,1,3,1.0,115.0,3,1125,1,28,314,1,0,2742,1,0,0,0,0,0,0,0,1,0.044191337059644294,0,1,0,0,0,1,0,0,0,1,2.0,3.0,2.0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1.0
3023,-1.2552494854780514,-0.021997063496501372,0.08763759081529195,36174506,0.98,1,1,8,3.0,182.0,2,1125,1,63,82,40,0,2689,1,0,0,0,1,0,0,0,0,0.08607704311324477,0,1,0,0,0,1,0,0,0,1,5.0,2.6666666666666665,1.6666666666666667,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1.0
943,-0.3910555965805352,0.8388572937391414,-0.15022889953407415,15011149,0.63,0,1,8,4.0,400.0,3,1125,1,15,12,9,0,2556,1,0,0,0,1,0,0,0,0,0.09392823319491889,0,1,0,0,0,1,0,0,0,1,4.0,2.0,1.0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,3.5
6107,-1.0113270905458271,0.16504114349480636,0.29307111186806534,52520901,1.0,0,1,8,2.0,155.0,2,365,1,76,13,13,1,107,0,0,0,0,0,0,0,0,0,0.011382192720210413,0,1,0,0,0,1,0,0,0,1,6.0,4.0,3.0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2.0
4677,6.535413012546021,-0.39253090421540887,1.0353448185726868,46797679,0.94,0,1,2,1.0,27.0,2,28,1,90,11,11,0,3126,1,0,0,0,0,0,1,0,0,0.06068878248177508,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1.5
1178,-0.8360855354174359,0.573201974363049,-0.10656801571776331,18242088,0.98,1,1,6,2.0,63.0,2,120,1,1,168,52,1,2322,1,0,0,0,0,0,1,0,0,0.0685949743867619,0,1,0,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1.0
1060,0.5468131318829272,-0.04680035754636399,0.0537443007462578,16323999,0.52,1,1,1,1.0,80.0,32,1125,1,90,0,0,0,3342,1,1,0,0,0,0,0,0,0,0.16517758358541365,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0
870,-1.1686167882499452,0.16682088956630184,0.020854552666355112,14144295,1.0,0,1,4,1.0,152.0,2,1125,1,80,266,41,0,2315,1,0,0,0,0,0,0,0,1,0.030857671576445502,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0
