,review1,review2,review3,id,host_acceptance_rate,host_is_superhost,host_identity_verified,accommodates,bedrooms,price,minimum_nights,maximum_nights,has_availability,availability_90,number_of_reviews,number_of_reviews_ltm,instant_bookable,host_days,response_score,neighbourhood_farnorth,neighbourhood_farsouth,neighbourhood_farsouthwest,neighbourhood_north,neighbourhood_northwest,neighbourhood_south,neighbourhood_southwest,neighbourhood_west,dist,property_group_0,property_group_1,property_group_2,property_group_3,property_group_4,room_type_entire_home/apt,room_type_hotel_room,room_type_private_room,room_type_shared_room,crowdedness,crowdedness_diff,crowdedness_ratio,crowdedness_adj_ratio,long_term_stays_allowed,gym,patio_or_balcony,paid_parking_off_premises,coffee_maker,first_aid_kit,fire_extinguisher,private_entrance,bbq_grill,lockbox,indoor_fireplace,hangers,elevator,dishwasher,laundromat_nearby,heating,bathtub,air_conditioning,hot_water,hair_dryer,free_street_parking,oven,shower_gel,free_parking_on_premises,lock_on_bedroom_door,dryer,keypad,washer,outdoor_furniture,room-darkening_shades,baking_sheet,wine_glasses,tv,bathrooms_privacy,bathrooms
4537,-1.3341548783447343,-0.2355631312973254,0.01941566492739524,46034098,0.91,1,1,3,1.1680440771349863,71.0,32,99,1,58,6,5,1,1780,1,0,0,0,1,0,0,0,0,0.09521075531219464,0,1,0,0,0,1,0,0,0,1,1.8319559228650137,2.568396226415094,1.5683962264150944,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1.0
5482,0.47747959056650985,-0.12769942384133265,0.06254034764663118,50114196,1.0,1,1,6,3.0,159.0,2,365,1,82,28,28,1,443,1,0,0,0,0,0,0,0,0,0.02762038173378966,0,0,1,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2.0
4999,-0.7973279432718886,0.16416083878868298,-0.27537211532990774,48362307,1.0,1,1,6,2.0,164.0,2,365,1,71,29,29,1,443,1,0,0,0,0,0,0,0,0,0.028298888443190156,0,1,0,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2.0
6148,-1.3341548783447343,-0.2355631312973254,0.01941566492739524,52622044,1.0,1,1,12,4.0,480.0,2,365,1,74,6,6,1,258,1,0,0,0,0,0,0,0,0,0.020430832756396698,0,0,0,0,1,1,0,0,0,1,8.0,3.0,2.0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,3.5
1432,-0.547924907292609,-0.22277693482450706,-0.12241080549659793,20760300,1.0,0,1,2,1.0,85.0,1,7,1,0,58,0,0,2176,0,0,0,0,0,0,0,0,0,0.02274333957711629,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1.0
748,-0.6509672440985822,-0.3376705872103157,0.04066674361603057,12543338,0.5,0,1,4,2.0,250.0,4,28,1,42,33,0,0,2742,1,0,0,0,1,0,0,0,0,0.03897951060646503,0,0,1,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2.0
2030,0.0888851417959166,-0.1850141556723591,0.988985575633386,26502857,1.0,1,1,2,1.0,64.0,1,1125,1,51,171,29,1,2160,1,0,0,0,0,0,0,0,0,0.017512864731962462,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1.0
2452,-0.7881327307844453,-0.6957912798793223,-0.7678343984602158,30428819,1.0,0,0,6,2.0,130.0,3,10,1,0,0,0,1,3122,0,0,0,0,0,0,0,0,0,0.02165444691328613,0,0,1,0,0,1,0,0,0,1,4.0,3.0,2.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0
2949,-1.2668163792407052,-0.1473039956656453,0.23093050583076968,35573202,0.96,1,0,5,1.0,96.0,1,1125,1,61,85,36,1,932,1,1,0,0,0,0,0,0,0,0.12816342423296506,0,0,1,0,0,1,0,0,0,1,4.0,5.0,4.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1.0
3969,7.031926166997964,5.933622011077937,-3.631781278841576,42382376,0.0,0,1,4,2.0,78.0,1,27,1,88,2,0,0,2619,0,0,0,0,0,0,1,0,0,0.13996691265839176,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3027,0.7205911228097146,-0.13770346590506993,-0.39042671575270244,36179661,0.66,0,0,8,3.0,400.0,2,1125,1,90,22,14,0,1146,1,0,0,0,0,0,0,1,0,0.1406900686726662,0,1,0,0,0,1,0,0,0,1,5.0,2.6666666666666665,1.6666666666666667,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2.0
5511,-0.9527409292044622,0.2022448491903206,0.029044236994685467,50165618,1.0,0,1,2,1.0,58.0,1,365,1,79,5,5,0,199,0,1,0,0,0,0,0,0,0,0.09064759694067577,0,0,1,0,0,1,0,0,0,1,1.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
1919,-1.3676981464070406,0.3204721291639438,0.04622826909541988,25244851,1.0,1,1,2,1.031413612565445,94.0,2,1125,1,0,37,0,1,2145,0,0,0,0,0,0,0,0,1,0.06481199264888828,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0
4482,3.702137739419809,-2.869733481656992,-2.0264800835505987,45792346,0.98,0,1,6,3.0,317.0,30,1125,1,52,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.013508206028922736,0,1,0,0,0,1,0,0,0,1,3.0,2.0,1.0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2.0
4221,0.24912899784492176,0.09380890790625461,-1.4261526766738362,43947806,0.0,0,1,8,6.0,635.0,30,1125,1,83,0,0,0,722,0,1,0,0,0,0,0,0,0,0.14395461534497483,0,1,0,0,0,1,0,0,0,1,2.0,1.3333333333333333,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.5
353,-0.9525798796562311,0.0661242905706464,-0.0364299634959833,6104268,0.99,1,1,4,2.0,278.0,1,1124,1,56,191,43,0,2433,1,0,0,0,0,0,0,0,1,0.037917679769724176,0,0,1,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,2.0
107,-1.4313625471178884,0.07939736220211997,0.12049256289231826,1623463,0.7,1,0,6,2.0,103.0,2,1125,1,60,50,10,0,3035,1,0,0,0,0,0,0,0,1,0.027790329813083738,0,1,0,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1.0
4581,2.467725185386925,-0.031140490971866233,-0.2680512325157207,46297396,0.98,0,1,1,1.0,33.0,3,1000,1,90,7,7,0,1269,1,1,0,0,0,0,0,0,0,0.12966992508333397,0,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1.0
2544,3.0102271199397266,-1.337501265394019,0.18597919697925774,31404552,0.0,0,1,4,1.6688679245283018,400.0,3,1125,1,90,3,0,0,3139,0,0,0,0,0,0,0,0,0,0.005743729025650468,0,1,0,0,0,1,0,0,0,1,2.3311320754716984,2.3968343697003958,1.396834369700396,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0
120,-1.0628664047578016,-0.19932930151714753,-0.04500674856841217,1769731,1.0,1,0,4,1.0,279.0,1,365,1,89,6,6,1,2993,1,0,0,0,1,0,0,0,0,0.07034437597363004,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1.0
364,-1.1640138838203142,-0.3065403306901611,-0.09421984850062677,6362890,1.0,1,1,4,1.0,80.0,28,1125,1,11,19,2,0,3065,1,0,0,0,0,0,0,0,0,0.02819285879650801,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1.0
5350,-0.15443114194869936,0.02370399874917718,0.3603640828270865,49732987,0.99,1,1,1,1.0311526479750779,79.0,1,1125,1,82,24,24,1,256,1,0,0,0,0,0,0,0,1,0.02972722393227968,0,1,0,0,0,1,0,0,0,0,-0.031152647975077885,0.9697885196374623,-0.030211480362537766,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1.0
1644,-1.281080355001971,0.081774720732394,0.04148897669232412,22479583,1.0,1,1,6,3.0,120.0,3,1125,1,73,90,0,0,2073,0,0,0,0,0,0,0,0,1,0.06401309302884577,0,1,0,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,2.0
4050,-0.19554874846837833,-0.9991005627693287,-1.413504321707648,42898556,0.99,1,1,2,2.0,125.0,1,7,1,0,0,0,0,1641,1,1,0,0,0,0,0,0,0,0.10955944862548221,0,1,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.5
872,-0.7872113705086985,0.14448262592716382,0.09992699364026603,14166242,1.0,1,1,4,2.0,101.0,1,120,1,69,557,87,1,2581,1,0,0,0,1,0,0,0,0,0.08834571912163032,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.0
898,-1.06122883716784,0.4799742075590825,0.00452520473868904,14531526,0.98,1,1,8,3.0,275.0,2,1125,1,89,134,23,0,1974,1,0,0,0,0,0,0,0,1,0.0586910174312852,0,1,0,0,0,1,0,0,0,1,5.0,2.6666666666666665,1.6666666666666667,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2.0
4530,0.027549429742489355,-0.7914925177583382,-0.127469459580183,45991431,1.0,0,1,6,3.0,110.0,7,1125,1,83,17,16,1,437,1,0,0,0,0,0,0,0,1,0.030105748007972156,0,1,0,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0
4464,-0.6161855439517219,-0.1061149753792317,0.4626543728976429,45726663,0.35,0,0,2,1.031413612565445,120.0,32,1125,1,90,1,1,0,2218,1,0,0,0,0,0,0,0,0,0.018716349193155294,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1.0
5289,-1.176065620497456,0.015955629542955277,0.16198319775718897,49530220,1.0,1,1,4,2.0,142.0,1,365,1,90,13,13,0,2335,1,0,0,0,0,0,1,0,0,0.06660556732827225,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1.0
3668,-1.4184780531417063,-0.07413467643235779,0.08930185123283238,40674594,0.97,1,1,6,3.0,101.0,2,1125,1,13,59,19,0,2469,1,0,0,0,0,1,0,0,0,0.10985358571807895,0,1,0,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1.0
2754,-0.7646659541379028,-0.238794072483241,0.14515079967260158,33993860,1.0,1,1,4,1.0,86.0,2,1125,1,45,98,32,0,1370,0,0,0,0,1,0,0,0,0,0.03668281024021124,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1.0
6327,-0.8591101636257376,-0.2550390969469947,0.45262739071191443,53219652,0.92,0,1,4,2.0,200.0,32,1125,1,85,0,0,1,1382,1,0,0,0,0,0,0,0,0,0.013063555072028296,0,0,0,1,0,1,0,0,0,1,2.0,2.0,1.0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,2.0
4907,2.2038877273331563,-0.40929529659019215,1.078505615321804,48117413,0.98,0,1,2,1.0,110.0,30,1125,1,82,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.01662310293296857,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
5734,-1.0307966271919689,-0.23309579260834068,0.1270478104844461,50916130,1.0,1,1,6,2.0,225.0,2,60,1,69,27,27,0,1707,0,0,0,0,0,0,0,0,0,0.020412257668371996,0,1,0,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1.0
2441,-1.3990721366412313,0.1728691531933066,0.0739119145001754,30295107,1.0,1,1,2,1.031413612565445,69.0,3,15,1,47,98,39,0,1772,0,0,0,0,0,0,1,0,0,0.0515114426037554,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0
5719,0.23957078349868768,-1.056009870905232,-1.0091843879483413,50885976,0.98,0,1,2,1.0,122.0,32,1125,1,0,0,0,1,1828,1,0,0,0,0,0,0,0,1,0.03534012800088976,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
6069,3.054089343991493,1.9585451257397193,-0.5249811509499182,52359233,0.98,0,1,4,1.6688679245283018,189.0,1,29,1,72,0,0,1,1340,1,0,0,0,0,0,0,0,0,0.014098484993779076,0,0,0,1,0,0,0,1,0,1,2.3311320754716984,2.3968343697003958,1.396834369700396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3682,0.5616566238008935,-1.1513478131002572,-1.2197371497673777,40721200,0.98,0,1,2,1.0,164.0,30,1125,1,0,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.018767456490432752,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
2657,-1.2963501666778412,-0.04127046298622401,0.06879817482649425,33017791,1.0,1,1,2,1.0,70.0,1,1125,1,0,12,0,0,2840,0,1,0,0,0,0,0,0,0,0.23557132518011858,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,2.0
1524,-0.8982253823199629,0.39445311163337166,-0.07723454200695147,21501639,1.0,0,1,2,1.0,43.0,1,1125,1,0,121,0,0,2307,0,0,0,0,0,1,0,0,0,0.1251599758354034,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1.0
6286,-0.5875458145601661,0.6425251454835715,-0.24807714374291656,53068748,1.0,0,1,2,1.0,44.0,2,1125,1,79,5,5,1,65,1,0,0,0,0,0,1,0,0,0.04268678183138428,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1.0
4380,0.9707929234862904,-0.337359168585966,-0.2318077624886671,45289275,0.99,0,1,2,1.031413612565445,68.0,1,30,1,78,38,34,0,713,1,1,0,0,0,0,0,0,0,0.07637853891715522,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1.0
1960,-0.7779457749493763,-0.08350497503285456,-0.1636717303146026,25826424,1.0,1,0,8,4.0,624.0,2,60,1,74,67,26,0,1290,0,0,0,0,1,0,0,0,0,0.06509750833265383,0,1,0,0,0,1,0,0,0,1,4.0,2.0,1.0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,3.5
2027,-1.0554730831334314,-0.1030048253687657,-0.06140615255635534,26476402,1.0,1,1,6,2.0,115.0,3,1125,1,5,113,29,1,2088,0,0,0,0,0,0,1,0,0,0.10120605005196431,0,0,1,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1.0
6193,-0.04663184516460044,0.3396017537982292,-0.02103562155401106,52771190,0.97,0,0,4,1.0,86.0,2,60,1,65,9,9,1,1801,1,0,0,0,1,0,0,0,0,0.06126405372745138,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1.0
2687,-1.421311375739463,-0.2876675078178673,-0.010788748300663287,33167637,0.71,0,1,7,3.0,386.0,30,365,1,57,4,2,0,2001,1,0,0,0,1,0,0,0,0,0.044830335344712986,0,1,0,0,0,1,0,0,0,1,4.0,2.3333333333333335,1.3333333333333333,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2.5
4981,0.5616566238008935,-1.1513478131002572,-1.2197371497673777,48307895,0.98,0,1,2,1.0,176.0,30,1125,1,0,0,0,1,1828,1,0,0,0,0,0,0,0,0,0.01619751188052701,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0
2472,-1.3232610266784124,-0.0025967908522828093,0.09275707003055478,30594135,1.0,1,1,2,1.0,73.0,2,60,1,77,100,47,0,1108,1,0,0,1,0,0,0,0,0,0.17155945355217467,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1.0
4984,1.1195023897662666,-0.2077409933301867,0.755686386924136,48315253,0.99,0,1,2,1.031413612565445,118.0,2,365,1,23,132,132,1,2864,1,0,0,0,0,0,0,0,0,0.002769574537729979,0,1,0,0,0,1,0,0,0,1,0.968586387434555,1.9390862944162437,0.9390862944162438,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.0
4921,-0.2510399999780217,1.7082497871078146,-0.5147573914113304,48154982,0.98,0,1,6,3.0,237.0,2,1125,1,90,11,11,1,1322,1,0,0,0,0,0,0,0,1,0.08464867436126142,0,1,0,0,0,1,0,0,0,1,3.0,2.0,1.0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2.0
6434,-1.6444076955693847,-0.1075528577165523,0.2165459981601159,53519116,0.74,0,1,3,1.0,83.0,1,365,1,73,1,1,0,1261,1,0,0,0,0,0,1,0,0,0.08073462972494139,0,0,1,0,0,1,0,0,0,1,2.0,3.0,2.0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1.0
55,-0.6653631607175844,0.17626506473647646,0.07360936079104449,773127,1.0,1,1,2,1.0,78.0,2,14,1,0,128,0,0,3337,1,0,0,0,1,0,0,0,0,0.08552648786849255,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,2.0
4468,-0.01035213802883319,2.110162063702362,-0.8615763432351706,45756181,0.99,0,1,2,1.0,159.0,1,365,1,61,2,2,1,2864,1,0,0,0,0,0,0,0,0,0.01816347849725057,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1.0
5252,-1.1932519156912775,0.18196703077677528,-0.07438020933671279,49405979,0.73,0,1,8,3.0,375.0,2,14,1,80,6,6,1,3231,1,1,0,0,0,0,0,0,0,0.12664786254460633,0,1,0,0,0,1,0,0,0,1,5.0,2.6666666666666665,1.6666666666666667,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1.5
2327,7.364598514548889,-1.4604513682617186,-3.116718184483344,29216241,1.0,0,0,4,2.0,120.0,30,1125,1,90,3,0,0,2183,0,0,0,0,0,0,0,0,1,0.09498061313298323,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
5169,-1.106449481511402,0.3860569401982529,-0.14618131746479845,49060603,1.0,0,1,2,1.0,28.0,2,30,1,71,11,11,0,3382,0,0,0,0,0,0,1,0,0,0.053000272292880075,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1.5
3784,-1.6444076955693847,-0.1075528577165523,0.2165459981601159,41432840,1.0,1,1,2,1.0,69.0,2,30,1,85,23,19,1,2740,1,1,0,0,0,0,0,0,0,0.1113084010446645,0,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1.0
2991,-0.13023164464342138,0.3564052896876145,-0.6214777082540798,35880364,0.93,0,1,2,1.0,78.0,3,14,1,73,12,6,0,934,1,0,1,0,0,0,0,0,0,0.1543393349704518,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1.0
1727,-0.18079273354410086,0.9280984646061828,-0.6601171388474915,23599181,1.0,0,1,4,2.0,123.0,3,1125,1,0,18,3,0,1385,1,0,0,0,0,0,0,0,1,0.06345304820983433,0,1,0,0,0,1,0,0,0,1,2.0,2.0,1.0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0
1325,-0.1381087653701735,-0.06114038954838925,0.16006531935017468,19842149,1.0,0,1,4,1.0,84.0,2,300,1,0,50,0,1,1619,0,0,0,0,0,0,0,0,1,0.03563779587908904,0,1,0,0,0,1,0,0,0,1,3.0,4.0,3.0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1.0
4631,-1.3793347048278053,-0.022852969134340106,0.10821396984311311,46530100,1.0,1,1,2,1.0,165.0,3,40,1,81,29,29,1,3037,1,1,0,0,0,0,0,0,0,0.14497076516014804,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1.0
2866,-0.6066836617505966,-0.18490519934831084,0.10229099130391645,34888974,1.0,0,1,6,2.0,114.0,2,1125,1,67,78,40,0,3831,0,0,0,0,1,0,0,0,0,0.07958078732406879,0,0,1,0,0,1,0,0,0,1,4.0,3.0,2.0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0
2018,-0.8964295190284708,-0.21376011493875655,-0.015962745923551167,26402837,0.13,0,1,1,1.0,50.0,30,1125,1,72,26,0,0,2329,1,0,0,0,0,1,0,0,0,0.12598624781744094,0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1.0
482,-1.2121975305834998,0.5449815219100941,0.04271966312141879,7623005,1.0,0,1,2,1.0,55.0,3,10,1,0,108,0,0,3360,0,0,0,0,1,0,0,0,0,0.10704022398667933,0,1,0,0,0,1,0,0,0,1,1.0,2.0,1.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
3251,-0.547853444230721,0.780659812225668,-0.19683856613605097,37995534,0.92,0,1,5,2.0,82.0,2,1125,1,75,11,8,0,1439,1,0,0,0,0,0,0,0,1,0.07724102351806829,0,1,0,0,0,1,0,0,0,1,3.0,2.5,1.5,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1.0
